,index,Breed,Classification,obey,reps_lower,reps_upper
0,0,Border Collie,Brightest Dogs,95%,1,4
1,1,Poodle,Brightest Dogs,95%,1,4
2,2,German Shepherd,Brightest Dogs,95%,1,4
3,3,Golden Retriever,Brightest Dogs,95%,1,4
4,4,Doberman Pinscher,Brightest Dogs,95%,1,4
5,5,Shetland Sheepdog,Brightest Dogs,95%,1,4
6,6,Labrador Retriever,Brightest Dogs,95%,1,4
7,7,Papillon,Brightest Dogs,95%,1,4
8,8,Rottweiler,Brightest Dogs,95%,1,4
9,9,Australian Cattle Dog,Brightest Dogs,95%,1,4
10,10,Pembroke Welsh Corgi,Excellent Working Dogs,85%,5,15
11,11,Miniature Schnauzer,Excellent Working Dogs,85%,5,15
12,12,English Springer Spaniel,Excellent Working Dogs,85%,5,15
13,13,Belgian Shepherd Dog (Tervuren),Excellent Working Dogs,85%,5,15
14,14,Schipperke,Excellent Working Dogs,85%,5,15
15,15,Belgian Sheepdog,Excellent Working Dogs,85%,5,15
16,16,Collie,Excellent Working Dogs,85%,5,15
17,17,Keeshond,Excellent Working Dogs,85%,5,15
18,18,German Shorthaired Pointer,Excellent Working Dogs,85%,5,15
19,19,Flat-Coated Retriever,Excellent Working Dogs,85%,5,15
20,20,English Cocker Spaniel,Excellent Working Dogs,85%,5,15
21,21,Standard Schnauzer,Excellent Working Dogs,85%,5,15
22,22,Brittany,Excellent Working Dogs,85%,5,15
23,23,Cocker Spaniel,Excellent Working Dogs,85%,5,15
24,24,Weimaraner,Excellent Working Dogs,85%,5,15
25,25,Belgian Malinois,Excellent Working Dogs,85%,5,15
26,26,Bernese Mountain Dog,Excellent Working Dogs,85%,5,15
27,27,Pomeranian,Excellent Working Dogs,85%,5,15
28,28,Irish Water Spaniel,Excellent Working Dogs,85%,5,15
29,29,Vizsla,Excellent Working Dogs,85%,5,15
30,30,Cardigan Welsh Corgi,Excellent Working Dogs,85%,5,15
31,31,Chesapeake Bay Retriever,Above Average Working Dogs,70%,16,25
32,32,Puli,Above Average Working Dogs,70%,16,25
33,33,Yorkshire Terrier,Above Average Working Dogs,70%,16,25
34,34,Giant Schnauzer,Above Average Working Dogs,70%,16,25
35,35,Portuguese Water Dog,Above Average Working Dogs,70%,16,25
36,36,Airedale Terrier,Above Average Working Dogs,70%,16,25
37,37,Bouvier des Flandres,Above Average Working Dogs,70%,16,25
38,38,Border Terrier,Above Average Working Dogs,70%,16,25
39,39,Briard,Above Average Working Dogs,70%,16,25
40,40,Welsh Springer Spaniel,Above Average Working Dogs,70%,16,25
41,41,Manchester Terrier,Above Average Working Dogs,70%,16,25
42,42,Samoyed,Above Average Working Dogs,70%,16,25
43,43,Field Spaniel,Above Average Working Dogs,70%,16,25
44,44,Newfoundland,Above Average Working Dogs,70%,16,25
45,45,Australian Terrier,Above Average Working Dogs,70%,16,25
46,46,American Staffordshire Terrier,Above Average Working Dogs,70%,16,25
47,47,Gordon Setter,Above Average Working Dogs,70%,16,25
48,48,Bearded Collie,Above Average Working Dogs,70%,16,25
49,49,Cairn Terrier,Above Average Working Dogs,70%,16,25
50,50,Kerry Blue Terrier,Above Average Working Dogs,70%,16,25
51,51,Irish Setter,Above Average Working Dogs,70%,16,25
52,52,Norwegian Elkhound,Above Average Working Dogs,70%,16,25
53,53,Affenpinscher,Above Average Working Dogs,70%,16,25
54,54,Australian Silky Terrier,Above Average Working Dogs,70%,16,25
55,55,Miniature Pinscher,Above Average Working Dogs,70%,16,25
56,56,English Setter,Above Average Working Dogs,70%,16,25
57,57,Pharaoh Hound,Above Average Working Dogs,70%,16,25
58,58,Clumber Spaniel,Above Average Working Dogs,70%,16,25
59,59,Norwich Terrier,Above Average Working Dogs,70%,16,25
60,60,Dalmatian,Above Average Working Dogs,70%,16,25
61,61,Soft-coated Wheaten Terrier,Average Working/Obedience Intelligence,50%,26,40
62,62,Bedlington Terrier,Average Working/Obedience Intelligence,50%,26,40
63,63,Fox Terrier (Smooth),Average Working/Obedience Intelligence,50%,26,40
64,64,Curly Coated Retriever,Average Working/Obedience Intelligence,50%,26,40
65,65,Irish Wolfhound,Average Working/Obedience Intelligence,50%,26,40
66,66,Kuvasz,Average Working/Obedience Intelligence,50%,26,40
67,67,Australian Shepherd,Average Working/Obedience Intelligence,50%,26,40
68,68,Saluki,Average Working/Obedience Intelligence,50%,26,40
69,69,Finnish Spitz,Average Working/Obedience Intelligence,50%,26,40
70,70,Pointer,Average Working/Obedience Intelligence,50%,26,40
71,71,Cavalier King Charles Spaniel,Average Working/Obedience Intelligence,50%,26,40
72,72,German Wirehaired Pointer,Average Working/Obedience Intelligence,50%,26,40
73,73,Black and Tan Coonhound,Average Working/Obedience Intelligence,50%,26,40
74,74,American Water Spaniel,Average Working/Obedience Intelligence,50%,26,40
75,75,Siberian Husky,Average Working/Obedience Intelligence,50%,26,40
76,76,Bichon Frise,Average Working/Obedience Intelligence,50%,26,40
77,77,King Charles Spaniel,Average Working/Obedience Intelligence,50%,26,40
78,78,Tibetan Spaniel,Average Working/Obedience Intelligence,50%,26,40
79,79,English Foxhound,Average Working/Obedience Intelligence,50%,26,40
80,80,Otterhound,Average Working/Obedience Intelligence,50%,26,40
81,81,Jack Russell terrier,Average Working/Obedience Intelligence,50%,26,40
82,82,American Foxhound,Average Working/Obedience Intelligence,50%,26,40
83,83,Greyhound,Average Working/Obedience Intelligence,50%,26,40
84,84,Wirehaired Pointing Griffon,Average Working/Obedience Intelligence,50%,26,40
85,85,West Highland White Terrier,Average Working/Obedience Intelligence,50%,26,40
86,86,Havanese,Average Working/Obedience Intelligence,50%,26,40
87,87,Scottish Deerhound,Average Working/Obedience Intelligence,50%,26,40
88,88,Boxer,Average Working/Obedience Intelligence,50%,26,40
89,89,Great Dane,Average Working/Obedience Intelligence,50%,26,40
90,90,Dachshund,Average Working/Obedience Intelligence,50%,26,40
91,91,Shiba Inu,Average Working/Obedience Intelligence,50%,26,40
92,92,Staffordshire Bull Terrier,Average Working/Obedience Intelligence,50%,26,40
93,93,Alaskan Malamute,Average Working/Obedience Intelligence,50%,26,40
94,94,Whippet,Average Working/Obedience Intelligence,50%,26,40
95,95,Chinese Shar Pei,Average Working/Obedience Intelligence,50%,26,40
96,96,Wire Fox Terrier,Average Working/Obedience Intelligence,50%,26,40
97,97,Rhodesian Ridgeback,Average Working/Obedience Intelligence,50%,26,40
98,98,Ibizan Hound,Average Working/Obedience Intelligence,50%,26,40
99,99,Welsh Terrier,Average Working/Obedience Intelligence,50%,26,40
100,100,Irish Terrier,Average Working/Obedience Intelligence,50%,26,40
101,101,Boston Terrier,Average Working/Obedience Intelligence,50%,26,40
102,102,Akita,Average Working/Obedience Intelligence,50%,26,40
103,103,Skye Terrier,Fair Working/Obedience Intelligence,30%,41,80
104,104,Norfolk Terrier,Fair Working/Obedience Intelligence,30%,41,80
105,105,Sealyham Terrier,Fair Working/Obedience Intelligence,30%,41,80
106,106,Pug,Fair Working/Obedience Intelligence,30%,41,80
107,107,French Bulldog,Fair Working/Obedience Intelligence,30%,41,80
108,108,Griffon Bruxellois,Fair Working/Obedience Intelligence,30%,41,80
109,109,Maltese,Fair Working/Obedience Intelligence,30%,41,80
110,110,Italian Greyhound,Fair Working/Obedience Intelligence,30%,41,80
111,111,Chinese Crested,Fair Working/Obedience Intelligence,30%,41,80
112,112,Dandie Dinmont Terrier,Fair Working/Obedience Intelligence,30%,41,80
113,113,Petit Basset Griffon VendÌ©en,Fair Working/Obedience Intelligence,30%,41,80
114,114,Tibetan Terrier,Fair Working/Obedience Intelligence,30%,41,80
115,115,Japanese Chin,Fair Working/Obedience Intelligence,30%,41,80
116,116,Lakeland Terrier,Fair Working/Obedience Intelligence,30%,41,80
117,117,Old English Sheepdog,Fair Working/Obedience Intelligence,30%,41,80
118,118,Great Pyrenees,Fair Working/Obedience Intelligence,30%,41,80
119,119,Scottish Terrier,Fair Working/Obedience Intelligence,30%,41,80
120,120,Saint Bernard,Fair Working/Obedience Intelligence,30%,41,80
121,121,Bull Terrier,Fair Working/Obedience Intelligence,30%,41,80
122,122,Chihuahua,Fair Working/Obedience Intelligence,30%,41,80
123,123,Lhasa Apso,Fair Working/Obedience Intelligence,30%,41,80
124,124,Bullmastiff,Fair Working/Obedience Intelligence,30%,41,80
125,125,Shih Tzu,Lowest Degree of Working/Obedience Intelligence ,40%,81,100
126,126,Basset Hound,Lowest Degree of Working/Obedience Intelligence ,40%,81,100
127,127,Mastiff,Lowest Degree of Working/Obedience Intelligence ,40%,81,100
128,128,Beagle,Lowest Degree of Working/Obedience Intelligence ,40%,81,100
129,129,Pekingese,Lowest Degree of Working/Obedience Intelligence ,40%,81,100
130,130,Bloodhound,Lowest Degree of Working/Obedience Intelligence ,40%,81,100
131,131,Borzoi,Lowest Degree of Working/Obedience Intelligence ,40%,81,100
132,132,Chow Chow,Lowest Degree of Working/Obedience Intelligence ,40%,81,100
133,133,Bulldog,Lowest Degree of Working/Obedience Intelligence ,40%,81,100
134,134,Basenji,Lowest Degree of Working/Obedience Intelligence ,40%,81,100
135,135,Afghan Hound,Lowest Degree of Working/Obedience Intelligence ,40%,81,100
